station_id,ln_nm,stin_nm,from_line,from_direction,to_line,to_direction,floor_sequence,n_steps,n_elevator,n_escalator,guide_text
KR_1_0606,1호선,회룡,1호선,의정부,,의정부 발곡,1F → 2F,7,1,0,"[1F] 1호선 의정부 방면 승강장 하차 → 1호선 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 1호선 대합실 이동 → [2F] 표 내는 곳 옆 환승통로 이동 → [2F] 표 내는 곳 통과 → [2F] 의정부 발곡 방면 승강장으로 이동 → [2F] 승차 (휠체어칸)"
KR_1_0606,1호선,회룡,1호선,의정부,,의정부 범골,1F → 2F → 3F,10,2,0,"[1F] 1호선 의정부 방면 승강장 하차 → 1호선 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 1호선 대합실 이동 → [2F] 표 내는 곳 옆 환승통로 이동 → [2F] 표 내는 곳 통과 → [2F] 의정부 발곡 방면 승강장으로 이동 → [2F] 의정부 대합실 이동 → 의정부 범골 방면 엘리베이터(으)로 1개 층 올라가기 (2F → 3F, 엘리베이터) → [3F] 의정부 범골 방면 승강장으로 이동 → [3F] 승차 (휠체어칸)"
KR_1_0606,1호선,회룡,1호선,망월사,,의정부 발곡,1F → 2F,7,1,0,"[1F] 1호선 망월사 방면 승강장 하차 → 1호선 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 1호선 대합실 이동 → [2F] 표 내는 곳 옆 환승통로 이동 → [2F] 표 내는 곳 통과 → [2F] 의정부 발곡 방면 승강장으로 이동 → [2F] 승차 (휠체어칸)"
KR_1_0606,1호선,회룡,1호선,망월사,,의정부 범골,1F → 2F → 3F,10,2,0,"[1F] 1호선 망월사 방면 승강장 하차 → 1호선 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 1호선 대합실 이동 → [2F] 표 내는 곳 옆 환승통로 이동 → [2F] 표 내는 곳 통과 → [2F] 의정부 발곡 방면 승강장으로 이동 → [2F] 의정부 대합실 이동 → 의정부 범골 방면 엘리베이터(으)로 1개 층 올라가기 (2F → 3F, 엘리베이터) → [3F] 의정부 범골 방면 승강장으로 이동 → [3F] 승차 (휠체어칸)"
KR_1_0146,1호선,도봉산,1호선,망월사,7호선,수락산,1F → 2F,5,0,0,7호선 환승통로 방면 휠체어리프트로 이동 → [1F] 지상 1층으로 이동 → [1F] 수락산 방면 휠체어리프트로 이동 → [2F] 지상 2층으로 이동 → [2F] 승강장 이동
KR_1_0146,1호선,도봉산,1호선,망월사,7호선,장암,1F → 2F,5,0,0,7호선 환승통로 방면 휠체어리프트로 이동 → [1F] 지상 1층으로 이동 → [1F] 장암 방면 휠체어리프트로 이동 → [2F] 지상 2층으로 이동 → [2F] 승강장 이동
KR_1_0146,1호선,도봉산,1호선,도봉,7호선,수락산,1F → 2F,5,0,0,7호선 환승통로 방면 휠체어리프트로 이동 → [1F] 지상 1층으로 이동 → [1F] 수락산 방면 휠체어리프트로 이동 → [2F] 지상 2층으로 이동 → [2F] 승강장 이동
KR_1_0146,1호선,도봉산,1호선,도봉,7호선,장암,1F → 2F,5,0,0,7호선 환승통로 방면 휠체어리프트로 이동 → [1F] 지상 1층으로 이동 → [1F] 장암 방면 휠체어리프트로 이동 → [2F] 지상 2층으로 이동 → [2F] 승강장 이동
KR_1_0541,1호선,창동,1호선,방학,4호선,노원,1F → 3F → 2F → 3F,8,1,0,"[1F] 1호선 방학 방면 승강장 하차 → 이동통로 방향 휠체어리프트(으)로 2개 층 올라가기 (1F → 3F, 휠체어리프트) → [3F] 이동통로로 이동 → 대합실 방향 휠체어리프트(으)로 1개 층 내려가기 (3F → 2F, 휠체어리프트) → [2F] 대합실로 이동 → 4호선 노원 방면 엘리베이터(으)로 1개 층 올라가기 (2F → 3F, 엘리베이터) → [3F] 4호선 노원 방면 승강장으로 이동 → [3F] 승차 (휠체어칸)"
KR_1_0541,1호선,창동,1호선,방학,4호선,쌍문,1F → 3F → 2F → 3F,8,1,0,"[1F] 1호선 방학 방면 승강장 하차 → 이동통로 방향 휠체어리프트(으)로 2개 층 올라가기 (1F → 3F, 휠체어리프트) → [3F] 이동통로로 이동 → 대합실 방향 휠체어리프트(으)로 1개 층 내려가기 (3F → 2F, 휠체어리프트) → [2F] 대합실로 이동 → 4호선 쌍문 방면 엘리베이터(으)로 1개 층 올라가기 (2F → 3F, 엘리베이터) → [3F] 4호선 쌍문 방면 승강장으로 이동 → [3F] 승차 (휠체어칸)"
