station_id,ln_nm,stin_nm,mv_path_dv_cd,mv_path_dv_nm,mg_no,path_label,floor_sequence,n_steps,n_elevator,n_escalator,guide_text,guide_lines
KR_1_1370,1호선,연천,1,출입구-승강장,1,"1,2번 출입구 엘리베이터 → 전곡방면 승강장",1F → 2F → 3F → 1F,6,2,0,"1,2번 출입구 지상1층 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 지상2층 엘리베이터 하차 → [2F] 표 내는 곳 통과 → 인천(전곡)방면 지상3층 엘리베이터(으)로 2개 층 내려가기 (3F → 1F, 엘리베이터) → [1F] 인천(전곡)방면 지상1층 승강장 엘리베이터 하차 → [1F] 전곡방면 승강장 이동","1. 1,2번 출입구 지상1층 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) | 2. [2F] 지상2층 엘리베이터 하차 | 3. [2F] 표 내는 곳 통과 | 4. 인천(전곡)방면 지상3층 엘리베이터(으)로 2개 층 내려가기 (3F → 1F, 엘리베이터) | 5. [1F] 인천(전곡)방면 지상1층 승강장 엘리베이터 하차 | 6. [1F] 전곡방면 승강장 이동"
KR_1_1370,1호선,연천,1,출입구-승강장,2,3번 출입구 엘리베이터 → 전곡방면 승강장,1F → 2F → 3F → 1F,6,2,0,"3번 출입구 지상1층 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 지상2층 엘리베이터 하차 → [2F] 표 내는 곳 통과 → 인천(전곡)방면 지상3층 엘리베이터(으)로 2개 층 내려가기 (3F → 1F, 엘리베이터) → [1F] 인천(전곡)방면 지상1층 승강장 엘리베이터 하차 → [1F] 전곡방면 승강장 이동","1. 3번 출입구 지상1층 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) | 2. [2F] 지상2층 엘리베이터 하차 | 3. [2F] 표 내는 곳 통과 | 4. 인천(전곡)방면 지상3층 엘리베이터(으)로 2개 층 내려가기 (3F → 1F, 엘리베이터) | 5. [1F] 인천(전곡)방면 지상1층 승강장 엘리베이터 하차 | 6. [1F] 전곡방면 승강장 이동"
KR_1_1370,1호선,연천,1,출입구-승강장,3,4번 출입구 엘리베이터 → 전곡방면 승강장,1F → 2F → 3F → 1F,6,2,0,"4번 출입구 지상1층 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 지상2층 엘리베이터 하차 → [2F] 표 내는 곳 통과 → 인천(전곡)방면 지상3층 엘리베이터(으)로 2개 층 내려가기 (3F → 1F, 엘리베이터) → [1F] 인천(전곡)방면 지상1층 승강장 엘리베이터 하차 → [1F] 전곡방면 승강장 이동","1. 4번 출입구 지상1층 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) | 2. [2F] 지상2층 엘리베이터 하차 | 3. [2F] 표 내는 곳 통과 | 4. 인천(전곡)방면 지상3층 엘리베이터(으)로 2개 층 내려가기 (3F → 1F, 엘리베이터) | 5. [1F] 인천(전곡)방면 지상1층 승강장 엘리베이터 하차 | 6. [1F] 전곡방면 승강장 이동"
KR_1_1369,1호선,전곡,1,출입구-승강장,1,1번출입구 옆 엘리베이터 → 청산,3F → 1F,6,1,0,"1번 출입구 옆 엘리베이터 대합실 → 표 내는 곳 통과 → [3F] 청산 방면 지상3층 엘리베이터 → 1번 출입구 옆 엘리베이터(으)로 2개 층 내려가기 (3F → 1F, 엘리베이터) → [1F] 청산 방면 지상1층 승강장 → [1F] 승차 (휠체어칸)","1. 1번 출입구 옆 엘리베이터 대합실 | 2. 표 내는 곳 통과 | 3. [3F] 청산 방면 지상3층 엘리베이터 | 4. 1번 출입구 옆 엘리베이터(으)로 2개 층 내려가기 (3F → 1F, 엘리베이터) | 5. [1F] 청산 방면 지상1층 승강장 | 6. [1F] 승차 (휠체어칸)"
KR_1_1369,1호선,전곡,1,출입구-승강장,2,1번출입구 옆 엘리베이터 → 연천,3F → 1F,6,1,0,"1번 출입구 옆 엘리베이터 대합실 → 표 내는 곳 통과 → [3F] 연천 방면 지상3층 엘리베이터 → 1번 출입구 옆 엘리베이터(으)로 2개 층 내려가기 (3F → 1F, 엘리베이터) → [1F] 연천 방면 지상1층 승강장 → [1F] 승차 (휠체어칸)","1. 1번 출입구 옆 엘리베이터 대합실 | 2. 표 내는 곳 통과 | 3. [3F] 연천 방면 지상3층 엘리베이터 | 4. 1번 출입구 옆 엘리베이터(으)로 2개 층 내려가기 (3F → 1F, 엘리베이터) | 5. [1F] 연천 방면 지상1층 승강장 | 6. [1F] 승차 (휠체어칸)"
KR_1_1369,1호선,전곡,1,출입구-승강장,3,2/3번출입구 옆 엘리베이터 → 청산,3F → 1F,6,1,0,"2/3번 출입구 옆 엘리베이터 대합실 → 표 내는 곳 통과 → [3F] 청산 방면 지상3층 엘리베이터 → 2/3번 출입구 옆 엘리베이터(으)로 2개 층 내려가기 (3F → 1F, 엘리베이터) → [1F] 청산 방면 지상1층 승강장 → [1F] 승차 (휠체어칸)","1. 2/3번 출입구 옆 엘리베이터 대합실 | 2. 표 내는 곳 통과 | 3. [3F] 청산 방면 지상3층 엘리베이터 | 4. 2/3번 출입구 옆 엘리베이터(으)로 2개 층 내려가기 (3F → 1F, 엘리베이터) | 5. [1F] 청산 방면 지상1층 승강장 | 6. [1F] 승차 (휠체어칸)"
KR_1_1369,1호선,전곡,1,출입구-승강장,4,2/3번출입구 옆 엘리베이터 → 연천,3F → 1F,6,1,0,"2/3번 출입구 옆 엘리베이터 대합실 → 표 내는 곳 통과 → [3F] 연천 방면 지상3층 엘리베이터 → 2/3번 출입구 옆 엘리베이터(으)로 2개 층 내려가기 (3F → 1F, 엘리베이터) → [1F] 연천 방면 지상1층 승강장 → [1F] 승차 (휠체어칸)","1. 2/3번 출입구 옆 엘리베이터 대합실 | 2. 표 내는 곳 통과 | 3. [3F] 연천 방면 지상3층 엘리베이터 | 4. 2/3번 출입구 옆 엘리베이터(으)로 2개 층 내려가기 (3F → 1F, 엘리베이터) | 5. [1F] 연천 방면 지상1층 승강장 | 6. [1F] 승차 (휠체어칸)"
KR_1_1368,1호선,청산,1,출입구-승강장,1,1번출입구 옆 엘리베이터 → 소요산,1F → 2F,5,0,0,1번 출입구 → 표 내는 곳 통과 → [1F] 소요산 방면 지상1층 엘리베이터 → [2F] 소요산 방면 지상2층 승강장 → [2F] 승차 (휠체어칸),1. 1번 출입구 | 2. 표 내는 곳 통과 | 3. [1F] 소요산 방면 지상1층 엘리베이터 | 4. [2F] 소요산 방면 지상2층 승강장 | 5. [2F] 승차 (휠체어칸)
KR_1_1368,1호선,청산,1,출입구-승강장,2,1번출입구 옆 엘리베이터 → 전곡,1F → 2F,5,0,0,1번 출입구 → 표 내는 곳 통과 → [1F] 소요산 방면 지상1층 엘리베이터 → [2F] 소요산 방면 지상2층 승강장 → [2F] 승차 (휠체어칸),1. 1번 출입구 | 2. 표 내는 곳 통과 | 3. [1F] 소요산 방면 지상1층 엘리베이터 | 4. [2F] 소요산 방면 지상2층 승강장 | 5. [2F] 승차 (휠체어칸)
KR_1_1368,1호선,청산,1,출입구-승강장,3,2번출입구 옆 엘리베이터 → 소요산,1F → 2F,5,0,0,2번 출입구 → 표 내는 곳 통과 → [1F] 소요산 방면 지상1층 엘리베이터 → [2F] 소요산 방면 지상2층 승강장 → [2F] 승차 (휠체어칸),1. 2번 출입구 | 2. 표 내는 곳 통과 | 3. [1F] 소요산 방면 지상1층 엘리베이터 | 4. [2F] 소요산 방면 지상2층 승강장 | 5. [2F] 승차 (휠체어칸)
